Title	Reading time (min)	Author	Last Name	Name	Country	Genre	Birth Year	Death Year	Linked Authors	Categories
La plegaria del buzo	5.62	Giovanni	Papini	Papini, Giovanni	Italy	Unknown	1881.0	1956.0	Aldous Huxley,Dante Alighieri,Filippo Tommaso Marinetti,Giacomo Leopardi,Giovanni Boccaccio,Giuseppe Ungaretti,Johann Wolfgang von Goethe,Jorge Luis Borges,William Shakespeare	Biógrafos de Italia,Candidatos al Premio Nobel de Literatura,Candidatos al Premio Nobel de la Paz,Conversos al catolicismo desde el ateísmo o agnosticismo,Escritores católicos,Escritores de Italia del siglo XX,Escritores en italiano,Fallecidos en 1956,Fallecidos en Florencia,Giovanni Papini,Hombres,Nacidos en 1881,Nacidos en Florencia,Poesía moderna
El comerciante	3.285	Franz	Kafka	Kafka, Franz	Czechoslovakia	Romanticism	1883.0	1924.0	Albert Camus,Dante Alighieri,Gabriel García Márquez,Heinrich von Kleist,J. D. Salinger,James Joyce,Jean-Paul Sartre,John Updike,Jorge Luis Borges,José Saramago,Marcel Proust,Ray Bradbury,Thomas Mann,Vladimir Nabokov	Aforistas,Alumnado de la Universidad Carolina,Asquenazíes,Ateos de Austria,Ateos judíos,Biógrafos de la República Checa,Cuentistas de la República Checa,Diaristas,Escritores de Austria del siglo XX,Escritores de la República Checa del siglo XX,Escritores del Imperio austrohúngaro,Escritores en alemán,Escritores expresionistas,Escritores judíos,Existencialistas,Fabulistas,Fallecidos en 1924,Fallecidos en Klosterneuburg,Fallecidos por tuberculosis,Franz Kafka,Hombres,Microrrelatistas,Nacidos en 1883,Nacidos en Praga,Novelistas de Austria,Novelistas de la República Checa,Novelistas del siglo XX,Realismo mágico,Zurdos
«La exangüe»	6.585	Emilia	Pardo Bazán	Pardo Bazán, Emilia	Unknown	Romanticism	1851.0	1921.0	Benito Pérez Galdós,Francisco Pi y Margall,Gertrudis Gómez de Avellaneda,José María Gabriel y Galán,Juan Valera,María de Zayas,Miguel de Unamuno,Pedro Antonio de Alarcón,Ramón de Campoamor,Vicente Blasco Ibánez,Victor Hugo,Wenceslao Fernández Flórez,Émile Zola	Académicos numerarios de la Real Academia Gallega,Aliadófilos en Espana durante la Primera Guerra Mundial,Antidarwinismo en Espana,Antisemitismo en Espana,Ateneístas,Catedráticos de la Universidad Complutense de Madrid,Condes de Espana,Creacionistas,Críticos de teatro de Espana,Críticos literarios de Espana del siglo XIX,Críticos literarios de Espana del siglo XX,Damas de la Orden de las Damas Nobles de la Reina María Luisa,Emilia Pardo Bazán,Escritoras de Espana,Escritoras feministas de Espana,Escritores católicos de Espana,Escritores costumbristas de Espana,Escritores de Espana del Realismo,Escritores de Espana del siglo XIX,Escritores de Espana del siglo XX,Escritores de la provincia de La Coruna,Escritores en espanol,Escritores sobre el carlismo,Espanolas del siglo XIX,Espanolas del siglo XX,Fallecidos en 1921,Fallecidos en Madrid,Feministas de Galicia,Gastrónomas de Espana,Historia de las mujeres en Espana,Literatos carlistas,Mujeres,Mujeres novelistas de Espana,Nacidos en 1851,Nacidos en La Coruna,Novelistas de Espana del siglo XIX,Novelistas de Espana del siglo XX,Novelistas de Galicia,Racismo en Espana,Salonnière,Sepultados en la Sacramental de San Lorenzo y San José
El Zorro y el Chivo	0.99	Jean de	La Fontaine	La Fontaine, Jean de	France	Romanticism	1621.0	1695.0	Charles Perrault,Giovanni Boccaccio	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII
El leve Pedro	4.6	Enrique	Anderson Imbert	Anderson Imbert, Enrique	Argentina	Unknown	1910.0	2000.0	Unknown	Alumnado de la Facultad de Filosofía y Letras de la Universidad de Buenos Aires,Alumnado del Colegio Nacional Rafael Hernández,Beca Guggenheim,Críticos literarios de Argentina,Cuentistas de Argentina,Ensayistas de Argentina,Escritores de la provincia de Córdoba (Argentina),Escritores en espanol del siglo XX,Fallecidos en 2000,Fallecidos en Buenos Aires,Hombres,Miembros de la Academia Argentina de Letras,Miembros de la Academia Estadounidense de las Artes y las Ciencias,Nacidos en 1910,Nacidos en Córdoba (Argentina),Novelistas de Argentina,Profesorado de la Universidad Nacional de Tucumán,Profesores de la Universidad Nacional de Cuyo,Profesores de la Universidad de Harvard,Profesores de la Universidad de Míchigan,Sepultados en el Cementerio Jardín de Paz de Pilar
Pancho	0.465	Unknown	Anónimo	Anónimo	Unknown	Unknown	0.0	0.0	Unknown	Unknown
Harpócrates en peligro	4.695	Unknown	Anónimo	Anónimo	Unknown	Unknown	0.0	0.0	Unknown	Unknown
El orden de las páginas	0.855	Unknown	Anónimo	Anónimo	Africa	Unknown	0.0	0.0	Unknown	Unknown
El encanto	3.365	Unknown	Anónimo	Anónimo	China	Unknown	0.0	0.0	Unknown	Unknown
El águila y la zorra	1.23	Unknown	Esopo	Esopo	Greece	Unknown	-600.0	0.0	Unknown	Unknown
La tempestad cambia los rótulos	6.965	Hans Christian	Andersen	Andersen, Hans Christian	Denmark	Romanticism	1805.0	1875.0	Charles Dickens,William Shakespeare	Autodidactas,Comandantes de primera clase de la Orden de Dannebrog,Cuentistas de Dinamarca,Escritores LGBT de Dinamarca,Escritores bisexuales,Escritores de Dinamarca del siglo XIX,Escritores de literatura infantil de Dinamarca,Escritores en danés,Escritores sobre viajes del siglo XIX,Fallecidos en 1875,Fallecidos por cáncer de hígado en Dinamarca,Hans Christian Andersen,Historia LGBT en Dinamarca,Hombres,Nacidos en 1805,Nacidos en Odense,Novelistas de Dinamarca del siglo XIX,Personas que dan nombre a un asteroide,Poetas de Dinamarca del siglo XIX,Protestantes de Dinamarca,Viajeros del siglo XIX por Espana,Zurdos
Piedad para la belleza	1.4	Unknown	Anónimo	Anónimo	Unknown	Unknown	0.0	0.0	Unknown	Unknown
El punal	0.985	Jorge Luis	Borges	Borges, Jorge Luis	Argentina	Romanticism	1899.0	1986.0	Adolfo Bioy Casares,Arthur Rimbaud,Carlos Fuentes,Dámaso Alonso,Edgar Allan Poe,Francisco Luis Bernárdez,Francisco de Quevedo,Franz Kafka,Gabriel García Márquez,Gerardo Diego,Gustav Meyrink,Henri Michaux,Herman Melville,Hermann Hesse,Jack London,James Joyce,José Emilio Pacheco,Juan Carlos Onetti,Julio Cortázar,Julio Ramón Ribeyro,Leopoldo Lugones,Macedonio Fernández,Manuel Mujica Lainez,Manuel Peyrou,Marcel Schwob,May Sinclair,Octavio Paz,Oliverio Girondo,Oscar Wilde,Pablo Neruda,Paul Auster,Ramón Gómez de la Serna,Ramón del Valle-Inclán,Ricardo Güiraldes,Roberto Arlt,Roberto Bolano,Rudyard Kipling,Samuel Beckett,Santiago Dabove,Silvina Ocampo,Vicente Huidobro,Victoria Ocampo,Virginia Woolf,Vladimir Nabokov,Walt Whitman,William Faulkner	Anticomunistas de Argentina,Argentinos fallecidos en el exterior,Conservadores de Argentina,Doctores honoris causa de la Universidad Nacional de La Plata,Fallecidos en 1986,Fallecidos en Ginebra,Hombres,Jorge Luis Borges,Liberales de Argentina,Nacidos en 1899,Nacidos en Buenos Aires,Personas que dan nombre a un asteroide
Ante la ley	2.97	Franz	Kafka	Kafka, Franz	Czechoslovakia	Romanticism	1883.0	1924.0	Albert Camus,Dante Alighieri,Gabriel García Márquez,Heinrich von Kleist,J. D. Salinger,James Joyce,Jean-Paul Sartre,John Updike,Jorge Luis Borges,José Saramago,Marcel Proust,Ray Bradbury,Thomas Mann,Vladimir Nabokov	Aforistas,Alumnado de la Universidad Carolina,Asquenazíes,Ateos de Austria,Ateos judíos,Biógrafos de la República Checa,Cuentistas de la República Checa,Diaristas,Escritores de Austria del siglo XX,Escritores de la República Checa del siglo XX,Escritores del Imperio austrohúngaro,Escritores en alemán,Escritores expresionistas,Escritores judíos,Existencialistas,Fabulistas,Fallecidos en 1924,Fallecidos en Klosterneuburg,Fallecidos por tuberculosis,Franz Kafka,Hombres,Microrrelatistas,Nacidos en 1883,Nacidos en Praga,Novelistas de Austria,Novelistas de la República Checa,Novelistas del siglo XX,Realismo mágico,Zurdos
El lobo, la nana y el nino	0.52	Unknown	Esopo	Esopo	Greece	Unknown	-600.0	0.0	Unknown	Unknown
Elsa	3.215	Felisberto	Hernández	Hernández, Felisberto	Uruguay	Unknown	1902.0	1963.0	Cristina Peri Rossi,Esther de Cáceres,Franz Kafka,Gabriel García Márquez,Horacio Quiroga,Ida Vitale,Italo Calvino,Jorge Luis Borges,Juan Carlos Onetti,Julio Cortázar,Marcel Proust	Compositores de Uruguay,Cuentistas de Uruguay,Escritores en espanol del siglo XX,Fallecidos en 1964,Hombres,Nacidos en 1902,Nacidos en Montevideo,Novelistas de Uruguay,Pianistas de Uruguay
El ciervo y el cervatillo	0.355	Unknown	Esopo	Esopo	Greece	Unknown	-600.0	0.0	Unknown	Unknown
Sopa de hacha	1.505	Unknown	Anónimo	Anónimo	Unknown	Unknown	0.0	0.0	Unknown	Unknown
Presumida	0.195	Alfonso	Reyes	Reyes, Alfonso	Mexico	Unknown	1889.0	1959.0	Unknown	Unknown
Los ciervos celestiales	0.51	Unknown	Anónimo	Anónimo	China	Unknown	0.0	0.0	Unknown	Unknown
La cigarra y la hormiga	0.72	Jean de	La Fontaine	La Fontaine, Jean de	France	Romanticism	1621.0	1695.0	Charles Perrault,Giovanni Boccaccio	Escritores en francés,Fabulistas,Fallecidos en 1695,Fallecidos en París,Hombres,Index Librorum Prohibitorum,Miembros de la Academia Francesa,Moralistas,Nacidos en 1621,Nacidos en Château-Thierry,Poetas de Francia del siglo XVII
El burro zancón	0.915	Ramón	Gómez de la Serna	Gómez de la Serna, Ramón	Unknown	Romanticism	1888.0	1963.0	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núnez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	Alumnado de las Escuelas Pías,Biógrafos de Espana del siglo XX,Ensayistas de Argentina,Ensayistas de Espana del siglo XX,Escritores costumbristas de Espana,Escritores de Argentina del siglo XX,Escritores de Espana del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en espanol del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de Espana del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrilenos,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de Espana del siglo XX,Periodistas de Espana del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo
Interpretar signos	0.62	Unknown	Anónimo	Anónimo	Unknown	Unknown	0.0	0.0	Unknown	Unknown
Recibí carta de Jimmy	4.075	Shirley	Jackson	Jackson, Shirley	United States	Romanticism	1916.0	1965.0	Dylan Thomas,J. D. Salinger,Richard Matheson	Cuentistas de Estados Unidos,Escritores de terror de Estados Unidos,Fallecidos en 1965,Mujeres,Nacidos en 1916,Novelistas de Estados Unidos
Historia de V. Goti	4.615	Miguel de	Unamuno	Unamuno, Miguel de	Unknown	Romanticism	1864.0	1936.0	Antonio Machado,Federico García Lorca,Fernando Pessoa,Jon Juaristi,José Ortega y Gasset,José Rafael Pocaterra,Juan Ramón Jiménez,Juan Valera,Pedro Emilio Coll,Pío Baroja,Rainer Maria Rilke,Ramón Gómez de la Serna,Rubén Darío,Ángel Ganivet	Académicos de la Real Academia Espanola,Agnósticos de Espana,Aliadófilos en Espana durante la Primera Guerra Mundial,Alumnado de la Universidad Central de Madrid,Antifascistas de Espana,Ateneístas,Candidatos al Premio Nobel de Literatura,Catedráticos de la Universidad de Salamanca,Cervantistas,Diputados de la I legislatura de la Segunda República Espanola,Diputados por la circunscripción electoral de Salamanca durante la Segunda República,Doctores honoris causa por la Universidad de Salamanca,Dramaturgos de Espana del siglo XIX,Dramaturgos de Espana del siglo XX,Dramaturgos del País Vasco,Epistológrafos,Escritores de Bilbao,Escritores de Espana de la generación del 98,Escritores de Espana del siglo XIX,Escritores de Espana del siglo XX,Escritores en espanol del siglo XIX,Escritores en espanol del siglo XX,Escritores sobre el carlismo,Fallecidos en 1936,Fallecidos en Salamanca,Filósofos católicos,Filósofos de Espana del siglo XIX,Filósofos de Espana del siglo XX,Filósofos de la religión,Filósofos del País Vasco,Generación del 98,Helenistas de Espana del siglo XX,Hijos adoptivos de Salamanca,Hombres,Iberistas,Index Librorum Prohibitorum,Miguel de Unamuno,Nacidos en 1864,Nacidos en Bilbao,Poetas de Espana del siglo XIX,Poetas de Espana del siglo XX,Rectores de la Universidad de Salamanca,Republicanos de Espana,Residentes,Víctimas de la represión durante la dictadura franquista
Bichicome	3.805	Juan Carlos	Onetti	Onetti, Juan Carlos	Uruguay	Modernism	1909.0	1994.0	Albert Camus,Cristina Peri Rossi,Ernest Hemingway,Félix Grande,Gerardo Diego,Idea Vilarino,James Joyce,Jorge Luis Borges,Julio Cortázar,Marcel Proust,Octavio Paz,Pío Baroja,William Faulkner	Cuentistas de Uruguay,Escritores en espanol del siglo XX,Exiliados uruguayos en Espana,Fallecidos en 1994,Fallecidos en Madrid,Ganadores del Premio Cervantes,Ganadores del Premio de la Crítica de narrativa castellana,Hombres,Juan Carlos Onetti,Nacidos en 1909,Nacidos en Montevideo,Novelistas de Uruguay,Sepultados en el cementerio de La Almudena
El hurto	2.985	Francisco	Pi y Margall	Pi y Margall, Francisco	Unknown	Romanticism	1824.0	1901.0	Unknown	Cantonalismo,Concejales del Ayuntamiento de Madrid,Diputados de Espana de la Restauración por acumulación de votos,Diputados de Espana del Sexenio Democrático,Diputados por Barcelona de las Cortes de la Restauración,Diputados por Figueras de las Cortes de la Restauración,Diputados por Madrid de las Cortes de la Restauración,Diputados por Sabadell de las Cortes de la Restauración,Diputados por Tarragona de las Cortes de la Restauración,Diputados por Valencia de las Cortes de la Restauración,Fallecidos en 1901,Fallecidos en Madrid,Grandes maestres de la Orden de Isabel la Católica,Hegelianismo en Espana,Historiadores de Espana del siglo XIX,Hombres,Iberistas,Krausistas,Masones de Espana,Ministros de la Primera República Espanola,Nacidos en 1824,Nacidos en Barcelona,Políticos de Barcelona,Políticos de Espana del siglo XIX,Políticos del Partido Republicano Democrático Federal,Presidentes del Poder Ejecutivo durante la Primera República Espanola,Sepultados en el cementerio civil de Madrid,Socialistas libertarios
El pobre y el rico	1.03	Hermanos	Grimm	Grimm, Hermanos	Germany	Romanticism	1785.0	1863.0	Charles Perrault	Cuentistas de Alemania,Dúos de hermanos,Escritores de Alemania del siglo XIX,Escritores de literatura infantil de Alemania,Escritores en alemán,Germanistas,Hermanos Grimm,Lexicógrafos de Alemania,Lingüistas de Alemania del siglo XIX,Mitógrafos,Parejas de artistas
Maestro	0.285	Ryunosuke	Akutagawa	Akutagawa, Ryunosuke	Japan	Romanticism	1892.0	1927.0	Anatole France,Jorge Luis Borges,William Butler Yeats	Alumnado de la Universidad de Tokio,Cuentistas de Japón,Escritores de Japón del siglo XX,Escritores en japonés,Escritores que cometieron suicidio,Fallecidos en 1927,Fallecidos en Tokio,Hombres,Nacidos en 1892,Nacidos en Tokio,Novelistas de Japón del siglo XX,Ryūnosuke Akutagawa,Suicidas de Japón,Suicidas por sobredosis de barbitúricos
El hombre al que mordió un perro	0.335	Unknown	Esopo	Esopo	Greece	Unknown	-600.0	0.0	Unknown	Unknown
Pocahontas: Princesa	6.055	Marcel	Schwob	Schwob, Marcel	France	Unknown	1867.0	1905.0	François Villon,Jorge Luis Borges,Julio Verne,Robert Louis Stevenson,William Faulkner	Críticos literarios de Francia,Escritores de Francia del siglo XIX,Escritores en francés,Fallecidos en 1905,Fallecidos en París,Hombres,Judíos de Francia,Nacidos en 1867,Nacidos en Chaville,Traductores de Francia del siglo XIX,Traductores de William Shakespeare
Fracaso	3.145	Anton	Chejov	Chejov, Anton	Russia	Dramaturgy	1860.0	1904.0	E. L. Doctorow,Edgar Allan Poe,George Steiner,Guy de Maupassant,James Joyce,Jorge Luis Borges,Máximo Gorki,Tennessee Williams,Virginia Woolf,Émile Zola	Antón Chéjov,Cuentistas de Rusia,Dramaturgos de Rusia del siglo XIX,Ensayistas de Rusia,Escritores de Rusia del siglo XIX,Escritores de ficción psicológica,Escritores en ruso,Escritores médicos,Fallecidos en 1904,Fallecidos por tuberculosis,Hombres,Nacidos en 1860,Nacidos en Taganrog,Novelistas de Rusia del siglo XIX,Personas que dan nombre a un asteroide,Sepultados en el cementerio Novodévichi
El sentenciado a diez muertes	0.86	Ramón	Gómez de la Serna	Gómez de la Serna, Ramón	Unknown	Romanticism	1888.0	1963.0	Carolina Coronado,Enrique Jardiel Poncela,Francisco de Quevedo,Gaspar Núnez de Arce,José Ortega y Gasset,José de Espronceda,Jules Renard,Lope de Vega,Manuel Bretón de los Herreros,Manuel Machado,Miguel Mihura,Oliverio Girondo,Pedro Emilio Coll,Pío Baroja,Tomás Borrás,William Shakespeare	Alumnado de las Escuelas Pías,Biógrafos de Espana del siglo XX,Ensayistas de Argentina,Ensayistas de Espana del siglo XX,Escritores costumbristas de Espana,Escritores de Argentina del siglo XX,Escritores de Espana del Novecentismo,Escritores de la Comunidad de Madrid,Escritores de literatura humorística,Escritores en espanol del siglo XX,Exiliados del franquismo en Argentina,Fallecidos en 1963,Fallecidos en Buenos Aires,Generación de 1914,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Humoristas de Argentina,Humoristas de Espana del siglo XX,Literatura de vanguardia,Microrrelatistas,Miembros del Instituto de Estudios Madrilenos,Nacidos en 1888,Nacidos en Madrid,Novelistas de Argentina,Novelistas de Espana del siglo XX,Periodistas de Espana del siglo XX,Poesía moderna,Ramón Gómez de la Serna,Sepultados en el cementerio de San Justo
Paseo nocturno	3.63	Rubem	Fonseca	Fonseca, Rubem	Brazil	Romanticism	1925.0	2020.0	Dalton Trevisan	Cuentistas de Brasil,Doctores honoris causa de la Universidad Nacional Mayor de San Marcos,Escritores de Brasil,Escritores de suspenso,Escritores en portugués,Fallecidos en 2020,Hombres,Nacidos en 1925,Nacidos en Minas Gerais,Novelistas de Brasil,Premio Camões,Premio Iberoamericano de Narrativa Manuel Rojas,Premio Konex Mercosur,Premio Machado de Assis
Padre: José Dolores Bastos...	3.155	Álvaro	Cepeda Samudio	Cepeda Samudio, Álvaro	Colombia	Romanticism	1926.0	1972.0	Benito Pérez Galdós,Gabriel García Márquez,Hernando Téllez,James Joyce,John Steinbeck,Juan Rulfo,Meira Delmar,Pío Baroja,Sherwood Anderson,Virginia Woolf	Barranquilleros,Escritores de Colombia,Escritores en espanol del siglo XX,Fallecidos en 1972,Hombres,Integrantes del Grupo de Barranquilla,Nacidos en 1926,Novelistas de Colombia,Periodistas de Colombia,Realismo mágico
La sirena inconforme	1.145	Augusto	Monterroso	Monterroso, Augusto	Guatemala	Unknown	1921.0	2003.0	Unknown	Aforistas,Augusto Monterroso,Cuentistas de Guatemala,Emigrantes guatemaltecos hacia México,Ensayistas de Guatemala,Escritores de Guatemala,Escritores en espanol del siglo XX,Fabulistas,Fallecidos en 2003,Fallecidos en Ciudad de México,Galardonados con el Premio Princesa de Asturias de las Letras,Ganadores del Premio Nacional de Literatura de Guatemala,Hombres,Microrrelatistas,Nacidos en 1920,Nacidos en Tegucigalpa,Nacionalizados de Guatemala,Premio Xavier Villaurrutia
El sapo	0.635	Juan José	Arreola	Arreola, Juan José	Mexico	Unknown	1918.0	2001.0	Charles Baudelaire,Eduardo Lizalde,Elsa Cross,Elías Nandino,Federico García Lorca,Franz Kafka,Giovanni Papini,Hans Christian Andersen,Jaime Torres Bodet,Jean de La Fontaine,Jorge Luis Borges,José Emilio Pacheco,José Revueltas,Juan Rulfo,Jules Renard,Julio Cortázar,Julio Torri,Marcel Proust,Marcel Schwob,Octavio Paz,Paul Valéry,Ramón López Velarde,Rubén Bonifaz Nuno,Walt Whitman,Xavier Villaurrutia	Académicos e investigadores de la Universidad Nacional Autónoma de México,Alumnado de El Colegio de México,Cuentistas de México del siglo XX,Doctores honoris causa de la Universidad de Colima,Editores de México,Escritores de Jalisco,Escritores en espanol del siglo XX,Fallecidos en 2001,Fallecidos en Guadalajara (México),Hombres,Microrrelatistas,Nacidos en 1918,Nacidos en Ciudad Guzmán,Premio Internacional Alfonso Reyes,Premio Nacional de Ciencias y Artes (México),Premio Nacional de Periodismo de México,Premio Xavier Villaurrutia
La muneca	3.12	Rafael	Barrett	Barrett, Rafael	Unknown	Romanticism	1876.0	1910.0	Augusto Roa Bastos,Jorge Luis Borges	Anarquistas de Cantabria,Anarquistas de Espana del siglo XX,Anarquistas de Paraguay,Cuentistas de Paraguay,Cántabros del siglo XIX,Cántabros del siglo XX,Ensayistas de Paraguay,Escritores de Cantabria,Escritores en espanol del siglo XIX,Escritores en espanol del siglo XX,Fallecidos en 1910,Fallecidos en Nueva Aquitania,Hombres,Nacidos en 1876,Nacidos en Torrelavega,Periodistas de Cantabria,Periodistas de Paraguay,Políticos de Cantabria,Políticos de Paraguay
La mosca que sonaba que era un águila	0.84	Augusto	Monterroso	Monterroso, Augusto	Guatemala	Unknown	1921.0	2003.0	Unknown	Aforistas,Augusto Monterroso,Cuentistas de Guatemala,Emigrantes guatemaltecos hacia México,Ensayistas de Guatemala,Escritores de Guatemala,Escritores en espanol del siglo XX,Fabulistas,Fallecidos en 2003,Fallecidos en Ciudad de México,Galardonados con el Premio Princesa de Asturias de las Letras,Ganadores del Premio Nacional de Literatura de Guatemala,Hombres,Microrrelatistas,Nacidos en 1920,Nacidos en Tegucigalpa,Nacionalizados de Guatemala,Premio Xavier Villaurrutia
Dragón	5.27	Ray	Bradbury	Bradbury, Ray	United States	Fantasy	1920.0	2012.0	Unknown	Activistas por la libertad de expresión,Autores ganadores del premio Bram Stoker,Autores ganadores del premio Hugo,Cuentistas de Estados Unidos,Escritores de Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de Estados Unidos del siglo XXI,Escritores de ciencia ficción de Estados Unidos,Escritores de ficción psicológica,Escritores de terror de Estados Unidos,Escritores en inglés,Escritores en inglés del siglo XX,Escritores en inglés del siglo XXI,Fallecidos en 2012,Fallecidos en Los Ángeles,Ganadores del Premio Nacional del Libro,Ganadores del Premio Pulitzer,Hombres,Medalla Nacional de las Artes,Nacidos en 1920,Nacidos en Waukegan,Novelistas de Estados Unidos,Paseo de la Fama de Hollywood,Personas que dan nombre a un asteroide,Ray Bradbury
Otro crimen perfecto	3.015	Dashiell	Hammett	Hammett, Dashiell	United States	Historical	1894.0	1961.0	Ernest Hemingway,Georges Simenon,Raymond Chandler	Dashiell Hammett,Escritores de Estados Unidos,Escritores de Estados Unidos del siglo XX,Escritores de género policiaco,Escritores de novela negra,Escritores en inglés,Escritores en inglés del siglo XX,Fallecidos en 1961,Fallecidos por cáncer de pulmón en Nueva York (estado),Hombres,Investigadores privados,Lista negra de Hollywood,Nacidos en 1884,Nacidos en Baltimore,Personas de Butte (Montana),Personas enterradas en el Cementerio Nacional de Arlington
La naturaleza de la mente	0.94	Unknown	Anónimo	Anónimo	India	Unknown	0.0	0.0	Unknown	Unknown
Mi prima me odia	6.425	Felipe	Trigo	Trigo, Felipe	Unknown	Rural	1864.0	1916.0	Unknown	Aliadófilos en Espana durante la Primera Guerra Mundial,Coroneles de Espana,Escritores de Espana del siglo XX,Escritores de Extremadura,Escritores en espanol del siglo XX,Escritores eróticos,Fallecidos en 1916,Fallecidos en Madrid,Hombres,Militares de Espana del siglo XIX,Militares de Espana en la Revolución Filipina,Militares de Espana en la guerra hispano-estadounidense,Militares de la provincia de Badajoz,Médicos de Atención Primaria de Espana,Médicos de Extremadura,Médicos militares de Espana,Nacidos en 1864,Nacidos en Villanueva de la Serena,Novelistas de Espana del siglo XX,Periodistas de Espana del siglo XX,Periodistas de Extremadura,Presencia espanola en Filipinas,Suicidas de Espana
Depende de quién proceda la orden	0.76	Unknown	Anónimo	Anónimo	India	Unknown	0.0	0.0	Unknown	Unknown
Politiquería	4.365	Ricardo	Güiraldes	Güiraldes, Ricardo	Argentina	Unknown	1886.0	1927.0	Horacio Quiroga,Jorge Luis Borges,Leopoldo Lugones	Alumnado del Colegio Nacional de Buenos Aires,Cuentistas de Argentina,Escritores en alemán de Argentina,Escritores en espanol del siglo XX,Escritores en francés de Argentina,Escritores en francés del siglo XX,Fallecidos en 1927,Fallecidos en París,Fallecidos por cáncer en Francia,Fallecidos por linfoma,Familia Güiraldes,Familia del Carril,Hombres,Nacidos en 1886,Novelistas de Argentina,Poetas de Argentina del siglo XX,Poetas de la ciudad de Buenos Aires,Premio Nacional de Letras (Argentina)
El falso maestro	0.98	Unknown	Anónimo	Anónimo	India	Unknown	0.0	0.0	Unknown	Unknown
El pequeno Lischen y la luna	2.315	Unknown	Anónimo	Anónimo	Unknown	Unknown	0.0	0.0	Unknown	Unknown
Los hrönir de Tlön	2.515	Jorge Luis	Borges	Borges, Jorge Luis	Argentina	Romanticism	1899.0	1986.0	Adolfo Bioy Casares,Arthur Rimbaud,Carlos Fuentes,Dámaso Alonso,Edgar Allan Poe,Francisco Luis Bernárdez,Francisco de Quevedo,Franz Kafka,Gabriel García Márquez,Gerardo Diego,Gustav Meyrink,Henri Michaux,Herman Melville,Hermann Hesse,Jack London,James Joyce,José Emilio Pacheco,Juan Carlos Onetti,Julio Cortázar,Julio Ramón Ribeyro,Leopoldo Lugones,Macedonio Fernández,Manuel Mujica Lainez,Manuel Peyrou,Marcel Schwob,May Sinclair,Octavio Paz,Oliverio Girondo,Oscar Wilde,Pablo Neruda,Paul Auster,Ramón Gómez de la Serna,Ramón del Valle-Inclán,Ricardo Güiraldes,Roberto Arlt,Roberto Bolano,Rudyard Kipling,Samuel Beckett,Santiago Dabove,Silvina Ocampo,Vicente Huidobro,Victoria Ocampo,Virginia Woolf,Vladimir Nabokov,Walt Whitman,William Faulkner	Anticomunistas de Argentina,Argentinos fallecidos en el exterior,Conservadores de Argentina,Doctores honoris causa de la Universidad Nacional de La Plata,Fallecidos en 1986,Fallecidos en Ginebra,Hombres,Jorge Luis Borges,Liberales de Argentina,Nacidos en 1899,Nacidos en Buenos Aires,Personas que dan nombre a un asteroide
Pueblerina	4.365	Juan José	Arreola	Arreola, Juan José	Mexico	Unknown	1918.0	2001.0	Charles Baudelaire,Eduardo Lizalde,Elsa Cross,Elías Nandino,Federico García Lorca,Franz Kafka,Giovanni Papini,Hans Christian Andersen,Jaime Torres Bodet,Jean de La Fontaine,Jorge Luis Borges,José Emilio Pacheco,José Revueltas,Juan Rulfo,Jules Renard,Julio Cortázar,Julio Torri,Marcel Proust,Marcel Schwob,Octavio Paz,Paul Valéry,Ramón López Velarde,Rubén Bonifaz Nuno,Walt Whitman,Xavier Villaurrutia	Académicos e investigadores de la Universidad Nacional Autónoma de México,Alumnado de El Colegio de México,Cuentistas de México del siglo XX,Doctores honoris causa de la Universidad de Colima,Editores de México,Escritores de Jalisco,Escritores en espanol del siglo XX,Fallecidos en 2001,Fallecidos en Guadalajara (México),Hombres,Microrrelatistas,Nacidos en 1918,Nacidos en Ciudad Guzmán,Premio Internacional Alfonso Reyes,Premio Nacional de Ciencias y Artes (México),Premio Nacional de Periodismo de México,Premio Xavier Villaurrutia
